firm_bio,services_offered,markets,address,phone,email
"Dynia Architects was founded in 1993 with a clear mission - to elevate all aspects of the built environment to exceptional experiences through a process of rigorous design exploration that choreographs site and program into the making of meaningful architecture.  We approach each project as an opportunity to create buildings and spaces inspired by nature, fueled by innovation, and engaged in the culture of place.  Our inventive, modern designs connect interior space with landscape and our dynamic public spaces connect buildings with community. ",,,,,
"Monoseason is a design research agency based in the Bay Area, California.  Integrating architecture, interior and landscape design, we strive to create holistic spaces that nurture experiences and enrich imagination.,We believe that buildings should radiate the warmth of tactility and spatial quality. While buildings nowadays are no longer crafted but assembled, we are devoted to bringing back humanistic care and natural tectonics to all of our projects, ranging from residential, cultural, commercial, institutional projects.  ,In parallel with everyday practices, we endeavors to explore interdisciplinary research and introspective critique. We hope to facilitate theoretical discourse as the vehicle for designing more innovative and kind-hearted works that better serve the communities.,The founding partners graduated from MIT and have previously designed and managed architectural projects in internationally acknowledged firms including Kengo Kuma and Associates, Safdie Architects, Stainley Saitowitz Office, Kennedy Violich Architecture in Boston, and Tonkin Zulaikha Greer in Sydney.  We bring this experience to the projects we work on here in California.",,,"
																165 11th Street,
																								San Francisco, CA, US																, 94103															",4157667908,hello@monoseason.com
"Monument Office is the online imprint of Kenneth Namkung, an architectural designer based in New York City. It operates at the intersection of architecture, design, and civic space. ,Kenneth Namkung is an architectural designer with extensive experience on cultural and institutional projects in the United States and abroad. He has practiced with many prominent architecture offices including Rafael Viñoly Architects and Santiago Calatrava New York.,He holds a Bachelor of Science in Architecture from the University of Virginia and a Master of Architecture from the Massachusetts Institute of Technology. He has taught design studios at the Boston Architectural Center (now Boston Architectural College), and has participated in design reviews at the Wentworth Institute of Technology, Syracuse University, Rensselaer Polytechnic Institute, Penn State University, and the University of Hartford.",,,,,
"Formations Studio is the creative practice of Tristan Al-Haddad and is engaged in acts of art, architecture, science and research by working across multiple disciplines and with many collaborators. The work is currently focused on projects at the scale of furniture, fragments, spatial installation, sculpture and landscape; all of which are understood both in terms of discrete objects/spaces and in terms of a particular creative methodology, which is scale-less and can be applicable in various projects and at various scales. The work is bound by a common theme of creating visceral experiential sensations and exploring concepts of matter-energy transformations.","Architecture,Interiors,Landscape,Construction,Furniture Design","Residential,Commercial,Civic,Design-Build,Urban Planning","
																860 Peachtree Street,
																								Suite 105,
																Atlanta, GA, US																, 30308															",404.642.9996,tristan@formations.w...
"NRAP Architects is a unique and highly skilled firm of award winning architects, working across several disciplines including architecture, urban design, interior design, infrastructure and landscape.",,,"
																13-15 Covent Garden,
																								Cambridge, GB																, CB1 2HS															",01223 464455,design@nrap.co.uk
"Good buildings speak honestly about their origins, the materials used to construct them, their environment, time, creators, and owners.,WE CREATE,exceptional architecture, uniting concept and craft to realize the visions of our clients. We’re known for being deeply engaged and passionate, for immersing ourselves in the artistry of a good building. It is our great joy to design both commercial and residential structures that redefine their spaces in a beautiful, thoughtful way.,OUR MISSION,as Maine architects and builders is to build and foster a diverse, balanced, and inspiring professional environment that nurtures a team of creative people to improve the built environment and spatial enjoyment of our clients’ work/life experience.",,,"
																110 Exchange St,
																								Fl 2,
																Portland, ME, US																, 04101															",2072838777,info@calebjohnsonstu...
"Flansburgh Architects is an internationally recognized leader in the planning and design of educational and cultural facilities. We are driven by the belief that the quality of our surroundings has a direct influence on the quality of our lives, whether, on campus, in the workplace, at a performance, or in the public realm. Our interests range from the functional and environmental performance of a building to its physical and cultural context to how spaces and materials are sculpted by natural light.  We’re seeking creative architects and designers to immediately join our Boston office.",Architecture,"Educational,Civic,Sports,Government,Entertainment,Historic Preservation,Design-Build","
																77 North Washington St.,
																								Boston, MA, US																, 02114															",,
"Led by principal and owner Randy Stegmeier, Firm 151 was founded in 1994, and has built a diverse portfolio of work around the globe including innovative residential projects, hospitality venues, office interiors, student centers, and large-scale athletic facilities.,Firm 151 has long-standing relationships with clients such as Nike, University of Oregon, UCLA, and Supercell. The firm’s unique, personal approach to the design process emphasizes forward-thinking design exploration, craftsmanship, and solutions that are tailored to each client’s principles and culture. The staff’s deep experience with comprehensive programming, user-based space planning, and hands-on coordination with manufacturers, artisans, builders, and consultants leads to environments that inspire the performance of users.",,,"
																700 SE Hawthorne,
																								Suite C,
																Portland, OR, US																, 97214															",,
"Competence, clear communication, and the ability to solve new problems are all critical elements of a successful process. Every project requires thousands of conversations, but ultimately, we are left with projects that speak for themselves.  ,Our different experiences and expertise offer an ideal balance of design and detailing. We care as much about what is behind a wall as to what that wall looks like on the surface. We strive for sustainability because we believe that what is good for the environment is good for each one of us. As Certified Passive House Designers, we aim to create healthy, comfortable, and energy-efficient buildings that improve the lives of their inhabitants and all those surrounding them.,Sometimes being too close to a problem can create a loss of perspective. For some architects, this often means forgetting about the very people that a building serves. We believe good design is the collection of decisions that have been carefully considered. Any design that does not put people first is never the right solution.",,,"
																50 Dobbin Street,
																								Studio #3,
																Brooklyn, NY, US																, 11222															","9179725433,917-225-7542","info@demoarch.com,info@demoarch.com"
