title,views,price
,,
,,
"Attractive Leather Briefcase For Men,Acer Swift 5 14"" (35.56 cms) Full HD IPS Display with Touchscreen Ultra Thin and Light Notebook (Intel i5 - 11th Gen/8GB RAM/512GB SSD/Win10/Intel Iris Xe Graphics/1.05 Kg/Mist Green), SF514-55TA,Acer Aspire 5 Thin and Light Laptop Intel Core I5 11th Gen ( 8 GB/512 GB SSD/ Windows 10 Home/ Iris Xe Graphic) A515-56-54FN with 39.6 cm (15.6 Inch) with FHD Display / 1.65 Kgs,HP 15 Entry Level 15.6-inch (39.62 cms) HD Laptop (AMD 3020e/4GB/1TB HDD/Windows 10 Home/Jet Black/1.74 Kg), 15s-gy0003AU,HP 14 (2021) Thin & Light Intel Celeron N4500 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-inch HD Screen, Windows 10, MS Office (14s-dq3017TU),Lenovo Ideapad S145 AMD RYZEN 3 3200U 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Windows 10/Office 2019/Grey/1.85Kg),81UT001CIN,HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu,HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au,Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700J0IH,Lenovo IdeaPad Slim 3 Intel Celeron N4020 15.6"" (39.62cms) HD Thin and Light Laptop (4GB/256GB SSD/Windows 10/Platinum Grey/1.7Kg), 81WQ003LIN,AVITA Essential NE14A2INC433-CR 14"" (35.56cms)Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Concrete Grey,(Renewed) Fujitsu A573 Lifebook with Numeric Keypad (Intel Core i5 - 3340m /4 GB/300 GB HDD/Windows 10 / NO Webcam / HDMI / 4 USB/15.6 Inch Screen),Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00L9IN,HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU),HP Chromebook 14a-na0002TU Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics), Ceremic White, 35.6 cm (14 inch),Lenovo Ideapad S145 AMD Ryzen 3 3200U 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/Platinum Grey/1.85Kg), 81UT00KWIN,HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au),ASUS VivoBook 14 (2020) Intel Core i3-1005G1 10th Gen 14-inch (35.56 cms) FHD Thin and Light Laptop (4GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Silver/1.6 kg), X415JA-EK312TS,HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU),Asus X509MA-BR270T/ Silver/ Intel Celeron N4020/ RAM 4GB/ SSD 256GB/ 15.6 inch HD/ FP/ 2Cell/ Win 10SL,HP 245 G7 Commercial Laptop (ATHLON-3050U, 4GB RAM, 1TB HDD, DOS - Doesn't Come with Windows), 1S5E8PA - for Small and Medium Business,Lenovo Legion Y540 9th Gen Intel Core i7 15.6-inch Full HD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/60 Hz/NVIDIA GTX 1650 4GB GDDR5 Graphics/Raven Black/2.3Kg), 81SY00SMIN,Lenovo Legion Y540 9th Gen Intel Core i5 15.6-inch (39.62 cms) Full HD Gaming Laptop (8GB/256GB SSD + 1TB HDD/Windows 10/60 Hz/NVIDIA GTX 1650 4GB GDDR5 Graphics/Raven Black/2.3Kg), 81SY00UAIN","8,11,820,71,762,9,2,15,3,368,277,40,217,708,3,66,285,328,167,226,134,729,32,3,340","2,898,.,2,898,.,2,336,.,68,999,54,990,25,940,29,990,28,990,1,94,990,44,490,40,990,75,889,67,990,27,495,27,490,27,475,19,990,67,990,35,994,25,990,31,499,34,990,58,223,31,900,74,990,64,990"
"Acer Swift 5 14"" (35.56 cms) Full HD IPS Display with Touchscreen Ultra Thin and Light Notebook (Intel i5 - 11th Gen/8GB RAM/512GB SSD/Win10/Intel Iris Xe Graphics/1.05 Kg/Mist Green), SF514-55TA",8,"68,999"
,,
"Acer Swift 5 14"" (35.56 cms) Full HD IPS Display with Touchscreen Ultra Thin and Light Notebook (Intel i5 - 11th Gen/8GB RAM/512GB SSD/Win10/Intel Iris Xe Graphics/1.05 Kg/Mist Green), SF514-55TA",8,"68,999"
,,"68,999"
,,
Acer Aspire 5 Thin and Light Laptop Intel Core I5 11th Gen ( 8 GB/512 GB SSD/ Windows 10 Home/ Iris Xe Graphic) A515-56-54FN with 39.6 cm (15.6 Inch) with FHD Display / 1.65 Kgs,11,"54,990"
,,
